"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/fablabs",255,0,220,313,137,2990,26149,2.20
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=02182f6b-7bb9-4e41-9700-df8c8147f8a9",1,0,430,428,428,428,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=02182f6b-7bb9-4e41-9700-df8c8147f8a9",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=02f445fb-5b5c-4ef1-9053-6dd178a64258",1,0,440,441,441,441,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=02f445fb-5b5c-4ef1-9053-6dd178a64258",1,0,280,278,278,278,4701,0.01
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=031d927b-b5bb-4299-81a7-2466f8b6379c",1,0,370,366,366,366,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=031d927b-b5bb-4299-81a7-2466f8b6379c",1,0,190,188,188,188,4701,0.01
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=04016e50-ab72-4e04-9f5d-e529205ab496",1,0,310,313,313,313,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=04016e50-ab72-4e04-9f5d-e529205ab496",1,0,360,361,361,361,4701,0.01
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=071447ef-7870-4e72-84b4-321809232c36",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=071447ef-7870-4e72-84b4-321809232c36",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=07c044a4-40c7-4142-acbc-9c3e97902380",1,0,440,439,439,439,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=07c044a4-40c7-4142-acbc-9c3e97902380",1,0,140,142,142,142,4701,0.01
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=09a0a5bd-2b30-4ebe-b4f9-7965efce4cb3",1,0,330,332,332,332,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=09a0a5bd-2b30-4ebe-b4f9-7965efce4cb3",1,0,250,250,250,250,4701,0.01
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=09e62d40-9ca5-44ef-81e0-55f808ddde3c",1,0,340,343,343,343,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=09e62d40-9ca5-44ef-81e0-55f808ddde3c",1,0,210,213,213,213,4701,0.01
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0bcc1861-dca7-4dae-aa1c-85abf1ebe6b7",1,0,340,337,337,337,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0bcc1861-dca7-4dae-aa1c-85abf1ebe6b7",1,0,180,183,183,183,4701,0.01
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0dccf2f1-455b-45dc-b907-7e2e78148ffa",1,0,300,299,299,299,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0dccf2f1-455b-45dc-b907-7e2e78148ffa",1,0,200,200,200,200,4701,0.01
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0e464aff-bfd0-4848-9ff9-0a45d656cc2a",1,0,600,596,596,596,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0e464aff-bfd0-4848-9ff9-0a45d656cc2a",1,0,190,193,193,193,4701,0.01
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0f104ece-154f-4ff7-a51e-9c9b5a9a3436",1,0,500,505,505,505,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0f104ece-154f-4ff7-a51e-9c9b5a9a3436",1,0,290,290,290,290,4701,0.01
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=10faf579-0edc-4aac-8b8c-5cae72dcd19f",1,0,520,519,519,519,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=10faf579-0edc-4aac-8b8c-5cae72dcd19f",1,0,140,144,144,144,4701,0.01
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=157ca6c2-1369-4a1f-a0f6-397d9c5f539a",1,0,3500,3508,3508,3508,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=157ca6c2-1369-4a1f-a0f6-397d9c5f539a",1,0,190,189,189,189,4701,0.01
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=162b3e23-d744-41b9-a7ea-e1a15dbf991f",1,0,2900,2878,2878,2878,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=162b3e23-d744-41b9-a7ea-e1a15dbf991f",1,0,260,255,255,255,4701,0.01
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1770a16e-e867-4abb-8bfc-70a86b529301",1,0,320,316,316,316,15,0.01
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1770a16e-e867-4abb-8bfc-70a86b529301",1,0,320,323,323,323,4701,0.01
