"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /fablabs",255,220,280,300,340,460,670,1400,2600,2990
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=02182f6b-7bb9-4e41-9700-df8c8147f8a9",1,430,430,430,430,430,430,430,430,428
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=02182f6b-7bb9-4e41-9700-df8c8147f8a9",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=02f445fb-5b5c-4ef1-9053-6dd178a64258",1,440,440,440,440,440,440,440,440,441
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=02f445fb-5b5c-4ef1-9053-6dd178a64258",1,280,280,280,280,280,280,280,280,278
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=031d927b-b5bb-4299-81a7-2466f8b6379c",1,370,370,370,370,370,370,370,370,366
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=031d927b-b5bb-4299-81a7-2466f8b6379c",1,190,190,190,190,190,190,190,190,188
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=04016e50-ab72-4e04-9f5d-e529205ab496",1,310,310,310,310,310,310,310,310,313
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=04016e50-ab72-4e04-9f5d-e529205ab496",1,360,360,360,360,360,360,360,360,361
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=071447ef-7870-4e72-84b4-321809232c36",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=071447ef-7870-4e72-84b4-321809232c36",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=07c044a4-40c7-4142-acbc-9c3e97902380",1,440,440,440,440,440,440,440,440,439
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=07c044a4-40c7-4142-acbc-9c3e97902380",1,140,140,140,140,140,140,140,140,142
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=09a0a5bd-2b30-4ebe-b4f9-7965efce4cb3",1,330,330,330,330,330,330,330,330,332
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=09a0a5bd-2b30-4ebe-b4f9-7965efce4cb3",1,250,250,250,250,250,250,250,250,250
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=09e62d40-9ca5-44ef-81e0-55f808ddde3c",1,340,340,340,340,340,340,340,340,343
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=09e62d40-9ca5-44ef-81e0-55f808ddde3c",1,210,210,210,210,210,210,210,210,213
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=0bcc1861-dca7-4dae-aa1c-85abf1ebe6b7",1,340,340,340,340,340,340,340,340,337
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=0bcc1861-dca7-4dae-aa1c-85abf1ebe6b7",1,180,180,180,180,180,180,180,180,183
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=0dccf2f1-455b-45dc-b907-7e2e78148ffa",1,300,300,300,300,300,300,300,300,299
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=0dccf2f1-455b-45dc-b907-7e2e78148ffa",1,200,200,200,200,200,200,200,200,200
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=0e464aff-bfd0-4848-9ff9-0a45d656cc2a",1,600,600,600,600,600,600,600,600,596
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=0e464aff-bfd0-4848-9ff9-0a45d656cc2a",1,190,190,190,190,190,190,190,190,193
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=0f104ece-154f-4ff7-a51e-9c9b5a9a3436",1,500,500,500,500,500,500,500,500,505
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=0f104ece-154f-4ff7-a51e-9c9b5a9a3436",1,290,290,290,290,290,290,290,290,290
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=10faf579-0edc-4aac-8b8c-5cae72dcd19f",1,520,520,520,520,520,520,520,520,519
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=10faf579-0edc-4aac-8b8c-5cae72dcd19f",1,140,140,140,140,140,140,140,140,144
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=157ca6c2-1369-4a1f-a0f6-397d9c5f539a",1,3500,3500,3500,3500,3500,3500,3500,3500,3508
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=157ca6c2-1369-4a1f-a0f6-397d9c5f539a",1,190,190,190,190,190,190,190,190,189
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=162b3e23-d744-41b9-a7ea-e1a15dbf991f",1,2900,2900,2900,2900,2900,2900,2900,2900,2878
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=162b3e23-d744-41b9-a7ea-e1a15dbf991f",1,260,260,260,260,260,260,260,260,255
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1770a16e-e867-4abb-8bfc-70a86b529301",1,320,320,320,320,320,320,320,320,316
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1770a16e-e867-4abb-8bfc-70a86b529301",1,320,320,320,320,320,320,320,320,323
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=17b1d6b2-a98d-4a9f-bc51-30af89286300",1,460,460,460,460,460,460,460,460,464
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=17b1d6b2-a98d-4a9f-bc51-30af89286300",1,190,190,190,190,190,190,190,190,190
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=19766ec5-52b7-45a0-868d-ee19b1ba3938",1,420,420,420,420,420,420,420,420,419
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=19766ec5-52b7-45a0-868d-ee19b1ba3938",1,180,180,180,180,180,180,180,180,181
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=19bf9e5a-d0cb-4d2d-aa76-17ef86ce4354",1,480,480,480,480,480,480,480,480,476
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=19bf9e5a-d0cb-4d2d-aa76-17ef86ce4354",1,290,290,290,290,290,290,290,290,291
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1c4b43f4-4ab1-4207-ac27-ec635d92ee28",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1c4b43f4-4ab1-4207-ac27-ec635d92ee28",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1e4999a1-9e92-4ef0-9627-fe0c344ab3e3",1,570,570,570,570,570,570,570,570,572
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1e4999a1-9e92-4ef0-9627-fe0c344ab3e3",1,380,380,380,380,380,380,380,380,385
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=213e09af-7015-4410-98e6-db6ca5db169b",1,420,420,420,420,420,420,420,420,417
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=213e09af-7015-4410-98e6-db6ca5db169b",1,180,180,180,180,180,180,180,180,183
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2170ee66-55e0-4cd2-8620-16bdcf3dc626",1,2900,2900,2900,2900,2900,2900,2900,2900,2882
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2170ee66-55e0-4cd2-8620-16bdcf3dc626",1,180,180,180,180,180,180,180,180,179
