"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=10d881b9-89f1-4c26-8752-f50c7464c265",1,0,580,576,576,576,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=10d881b9-89f1-4c26-8752-f50c7464c265",1,0,220,215,215,215,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=11b50c65-d449-47dd-9b47-09347502c07b",1,0,420,420,420,420,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=11b50c65-d449-47dd-9b47-09347502c07b",1,0,460,465,465,465,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=12a98f5d-3430-4418-af40-85d182a6d784",1,0,760,760,760,760,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=12a98f5d-3430-4418-af40-85d182a6d784",1,0,230,228,228,228,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=12ea8797-ff37-4a01-ac56-ecebb82bd524",1,0,350,348,348,348,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=12ea8797-ff37-4a01-ac56-ecebb82bd524",1,0,180,181,181,181,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1309d53d-787f-4ca0-a79d-fe57086c7cc7",1,0,460,458,458,458,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1309d53d-787f-4ca0-a79d-fe57086c7cc7",1,0,270,272,272,272,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=14415a99-4d9d-4893-b282-4c0c3ce1cfc5",1,0,320,316,316,316,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=14415a99-4d9d-4893-b282-4c0c3ce1cfc5",1,0,180,180,180,180,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=150a1eab-60e8-44dd-8352-172d642a6c7b",1,0,490,486,486,486,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=150a1eab-60e8-44dd-8352-172d642a6c7b",1,0,410,406,406,406,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=16c2d994-8bdc-4c9f-a7be-f32799cda0bf",1,0,840,836,836,836,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=16c2d994-8bdc-4c9f-a7be-f32799cda0bf",1,0,330,328,328,328,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=17d892d5-74f5-48b3-adc7-cf7d546372f2",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=17d892d5-74f5-48b3-adc7-cf7d546372f2",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1966cc01-b973-4ffc-9015-473d90162786",1,0,770,770,770,770,15,0.02
