"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /fablabs",179,220,280,310,350,420,580,2800,3300,3515
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=014e1cd4-77b3-4cb2-9885-87be947eee6a",1,440,440,440,440,440,440,440,440,442
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=014e1cd4-77b3-4cb2-9885-87be947eee6a",1,250,250,250,250,250,250,250,250,249
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=01ba944a-0eff-4b2d-9d86-c6bf60f70d94",1,390,390,390,390,390,390,390,390,388
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=01ba944a-0eff-4b2d-9d86-c6bf60f70d94",1,220,220,220,220,220,220,220,220,215
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=02195ed5-8401-40dc-858a-27332d1cd508",1,510,510,510,510,510,510,510,510,512
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=02195ed5-8401-40dc-858a-27332d1cd508",1,270,270,270,270,270,270,270,270,272
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=02853948-9074-4180-aa3b-3420cbbd7d1e",1,2700,2700,2700,2700,2700,2700,2700,2700,2681
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=02853948-9074-4180-aa3b-3420cbbd7d1e",1,320,320,320,320,320,320,320,320,322
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=029d3cd5-722b-4615-b1b4-20b9d7e9b65c",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=029d3cd5-722b-4615-b1b4-20b9d7e9b65c",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=031d59ca-dc84-4a79-b347-5c1c81eb5844",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=031d59ca-dc84-4a79-b347-5c1c81eb5844",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=033784aa-9b73-4a76-bf91-41c649c1557e",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=033784aa-9b73-4a76-bf91-41c649c1557e",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=0489f6b0-267e-4aad-8b51-4b4f67781ac4",1,490,490,490,490,490,490,490,490,490
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=0489f6b0-267e-4aad-8b51-4b4f67781ac4",1,150,150,150,150,150,150,150,150,148
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=055b828a-764d-4341-9866-f2cc0025724a",1,3000,3000,3000,3000,3000,3000,3000,3000,2996
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=055b828a-764d-4341-9866-f2cc0025724a",1,200,200,200,200,200,200,200,200,197
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=05a67af0-1dec-4220-94d7-117901b2ccc3",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=05a67af0-1dec-4220-94d7-117901b2ccc3",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=05a8efab-989f-4561-998a-bd72753beb5c",1,680,680,680,680,680,680,680,680,675
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=05a8efab-989f-4561-998a-bd72753beb5c",1,180,180,180,180,180,180,180,180,185
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=07db0391-aea8-4915-aeda-6aa564fd6ca3",1,620,620,620,620,620,620,620,620,621
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=07db0391-aea8-4915-aeda-6aa564fd6ca3",1,330,330,330,330,330,330,330,330,331
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=08abcf49-28e3-4706-af1d-848229abb745",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=08abcf49-28e3-4706-af1d-848229abb745",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=09577a45-00bd-4035-a063-01c2c02a28e4",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=09577a45-00bd-4035-a063-01c2c02a28e4",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=0c1621eb-c318-4f58-8159-f745d5ae2597",1,880,880,880,880,880,880,880,880,884
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=0c1621eb-c318-4f58-8159-f745d5ae2597",1,310,310,310,310,310,310,310,310,314
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0e8cf064-c491-44e3-bbc7-a5b1fce5e5fb",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0e8cf064-c491-44e3-bbc7-a5b1fce5e5fb",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0f3d097e-519c-4803-b0e7-a2f7cb55c817",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0f3d097e-519c-4803-b0e7-a2f7cb55c817",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=10d881b9-89f1-4c26-8752-f50c7464c265",1,580,580,580,580,580,580,580,580,576
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=10d881b9-89f1-4c26-8752-f50c7464c265",1,220,220,220,220,220,220,220,220,215
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=11b50c65-d449-47dd-9b47-09347502c07b",1,420,420,420,420,420,420,420,420,420
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=11b50c65-d449-47dd-9b47-09347502c07b",1,460,460,460,460,460,460,460,460,465
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=12a98f5d-3430-4418-af40-85d182a6d784",1,760,760,760,760,760,760,760,760,760
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=12a98f5d-3430-4418-af40-85d182a6d784",1,230,230,230,230,230,230,230,230,228
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=12ea8797-ff37-4a01-ac56-ecebb82bd524",1,350,350,350,350,350,350,350,350,348
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=12ea8797-ff37-4a01-ac56-ecebb82bd524",1,180,180,180,180,180,180,180,180,181
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1309d53d-787f-4ca0-a79d-fe57086c7cc7",1,460,460,460,460,460,460,460,460,458
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1309d53d-787f-4ca0-a79d-fe57086c7cc7",1,270,270,270,270,270,270,270,270,272
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=14415a99-4d9d-4893-b282-4c0c3ce1cfc5",1,320,320,320,320,320,320,320,320,316
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=14415a99-4d9d-4893-b282-4c0c3ce1cfc5",1,180,180,180,180,180,180,180,180,180
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=150a1eab-60e8-44dd-8352-172d642a6c7b",1,490,490,490,490,490,490,490,490,486
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=150a1eab-60e8-44dd-8352-172d642a6c7b",1,410,410,410,410,410,410,410,410,406
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=16c2d994-8bdc-4c9f-a7be-f32799cda0bf",1,840,840,840,840,840,840,840,840,836
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=16c2d994-8bdc-4c9f-a7be-f32799cda0bf",1,330,330,330,330,330,330,330,330,328
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=17d892d5-74f5-48b3-adc7-cf7d546372f2",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=17d892d5-74f5-48b3-adc7-cf7d546372f2",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1966cc01-b973-4ffc-9015-473d90162786",1,770,770,770,770,770,770,770,770,770
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1966cc01-b973-4ffc-9015-473d90162786",1,200,200,200,200,200,200,200,200,197
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=19e08816-dcfb-4be6-b565-3e323d978350",1,580,580,580,580,580,580,580,580,578
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=19e08816-dcfb-4be6-b565-3e323d978350",1,190,190,190,190,190,190,190,190,187
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1a16ec33-ba5c-4c9b-96ca-b64801e291f3",1,2700,2700,2700,2700,2700,2700,2700,2700,2745
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1a16ec33-ba5c-4c9b-96ca-b64801e291f3",1,250,250,250,250,250,250,250,250,254
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1b968eec-5e13-47af-8744-a5960b59094e",1,520,520,520,520,520,520,520,520,523
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1b968eec-5e13-47af-8744-a5960b59094e",1,240,240,240,240,240,240,240,240,245
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1c2093a3-f0b8-4c6e-bd0e-b53a026e7eed",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1c2093a3-f0b8-4c6e-bd0e-b53a026e7eed",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1e85930c-b39e-4889-b0b8-cdf7dc311f08",1,710,710,710,710,710,710,710,710,710
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1e85930c-b39e-4889-b0b8-cdf7dc311f08",1,320,320,320,320,320,320,320,320,322
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1eb67bd7-695e-4d15-9f94-17c00842ed09",1,1100,1100,1100,1100,1100,1100,1100,1100,1065
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1eb67bd7-695e-4d15-9f94-17c00842ed09",1,140,140,140,140,140,140,140,140,137
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1f61ef59-4507-45df-8850-3c9030696b84",1,3000,3000,3000,3000,3000,3000,3000,3000,3025
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1f61ef59-4507-45df-8850-3c9030696b84",1,160,160,160,160,160,160,160,160,165
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1ff58cce-0b94-4019-845b-4e481f1242b9",1,450,450,450,450,450,450,450,450,448
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=1ff58cce-0b94-4019-845b-4e481f1242b9",1,460,460,460,460,460,460,460,460,463
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=22f386ff-6143-4722-b7a0-897348444d0c",1,470,470,470,470,470,470,470,470,474
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=22f386ff-6143-4722-b7a0-897348444d0c",1,140,140,140,140,140,140,140,140,143
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2394c9a7-8c17-48de-98f1-b077cf58fd0e",1,940,940,940,940,940,940,940,940,944
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2394c9a7-8c17-48de-98f1-b077cf58fd0e",1,620,620,620,620,620,620,620,620,615
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2404c01e-79cb-4779-93a7-d8555bd6d773",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2404c01e-79cb-4779-93a7-d8555bd6d773",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=24a3905c-55bd-43e0-859a-ae9552124fc9",1,2700,2700,2700,2700,2700,2700,2700,2700,2715
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=24a3905c-55bd-43e0-859a-ae9552124fc9",1,390,390,390,390,390,390,390,390,389
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=24d8a69f-57ad-4f07-a167-4e667271ead5",1,1100,1100,1100,1100,1100,1100,1100,1100,1080
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=24d8a69f-57ad-4f07-a167-4e667271ead5",1,190,190,190,190,190,190,190,190,186
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=26106681-a89a-4f35-929f-bd5c602601d5",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=26106681-a89a-4f35-929f-bd5c602601d5",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=281c6cd6-1bbb-430f-a9bc-67f3d932edfb",1,400,400,400,400,400,400,400,400,404
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=281c6cd6-1bbb-430f-a9bc-67f3d932edfb",1,300,300,300,300,300,300,300,300,295
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2a987aed-19b9-495e-843f-9b134d92ea5a",1,800,800,800,800,800,800,800,800,800
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2a987aed-19b9-495e-843f-9b134d92ea5a",1,200,200,200,200,200,200,200,200,197
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2af1ed55-f154-40d8-aa77-5e92fb3a6fa1",1,770,770,770,770,770,770,770,770,772
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2af1ed55-f154-40d8-aa77-5e92fb3a6fa1",1,180,180,180,180,180,180,180,180,179
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2b9c3b50-3a51-44f1-8559-2d277a669d3b",1,300,300,300,300,300,300,300,300,302
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2b9c3b50-3a51-44f1-8559-2d277a669d3b",1,180,180,180,180,180,180,180,180,181
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2c1e1f2f-f5f6-4349-9388-f348da3c4dd9",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2c1e1f2f-f5f6-4349-9388-f348da3c4dd9",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2c65a251-aef6-418c-99a2-5313faf4ea54",1,2700,2700,2700,2700,2700,2700,2700,2700,2687
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2c65a251-aef6-418c-99a2-5313faf4ea54",1,380,380,380,380,380,380,380,380,384
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2e1c3fb7-a1ec-4970-8d9c-2aee37aa3bcd",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2e1c3fb7-a1ec-4970-8d9c-2aee37aa3bcd",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2f4c3e1f-a2c6-4c57-800d-32f6251cf4ff",1,480,480,480,480,480,480,480,480,475
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=2f4c3e1f-a2c6-4c57-800d-32f6251cf4ff",1,180,180,180,180,180,180,180,180,180
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=310b10f8-f331-4e74-90fd-a38434c2a165",1,1300,1300,1300,1300,1300,1300,1300,1300,1339
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=310b10f8-f331-4e74-90fd-a38434c2a165",1,260,260,260,260,260,260,260,260,261
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=31f2afea-ac16-4b9f-a402-af2385d4c5e5",1,790,790,790,790,790,790,790,790,794
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=31f2afea-ac16-4b9f-a402-af2385d4c5e5",1,340,340,340,340,340,340,340,340,344
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=32dbefbe-06f8-4b8d-925c-045c1ba512cf",1,340,340,340,340,340,340,340,340,344
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=32dbefbe-06f8-4b8d-925c-045c1ba512cf",1,210,210,210,210,210,210,210,210,212
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=33179df1-c884-40e6-9445-456ecfb83b3f",1,500,500,500,500,500,500,500,500,499
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=33179df1-c884-40e6-9445-456ecfb83b3f",1,200,200,200,200,200,200,200,200,199
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=33231191-bfdd-44c1-88d3-9921989d5e0d",1,660,660,660,660,660,660,660,660,656
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=33231191-bfdd-44c1-88d3-9921989d5e0d",1,380,380,380,380,380,380,380,380,385
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=335f633f-5ae7-4294-9dab-0f73afa13bd2",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=335f633f-5ae7-4294-9dab-0f73afa13bd2",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33af84bb-bdd5-4c3c-b99b-7d98132cab76",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33af84bb-bdd5-4c3c-b99b-7d98132cab76",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=33c8a271-69ba-498d-92fa-821d7a89ebac",1,320,320,320,320,320,320,320,320,317
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=33c8a271-69ba-498d-92fa-821d7a89ebac",1,140,140,140,140,140,140,140,140,143
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=36018022-b107-4a35-a885-08bb0e2632d6",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=36018022-b107-4a35-a885-08bb0e2632d6",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=36bfc766-03a7-460a-8902-333f2722ab68",1,510,510,510,510,510,510,510,510,512
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=36bfc766-03a7-460a-8902-333f2722ab68",1,210,210,210,210,210,210,210,210,209
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=36d08f52-d9db-453d-9e0e-06da4d33e4f1",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/fablabs/5a71a18373e3bb000f4b6830/jobs?job=36d08f52-d9db-453d-9e0e-06da4d33e4f1",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=38f00398-57ce-47c0-a395-279be0127433",1,880,880,880,880,880,880,880,880,877
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=38f00398-57ce-47c0-a395-279be0127433",1,210,210,210,210,210,210,210,210,213
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=3b5dca02-2791-46db-8abd-6b038da0da02",1,750,750,750,750,750,750,750,750,751
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=3b5dca02-2791-46db-8abd-6b038da0da02",1,190,190,190,190,190,190,190,190,188
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=3dd494ad-b6a1-4a67-8e65-dccc88ec15e8",1,380,380,380,380,380,380,380,380,378
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=3dd494ad-b6a1-4a67-8e65-dccc88ec15e8",1,190,190,190,190,190,190,190,190,188
"DELETE /fablabs/5a71a18373e3bb000f4b6830/jobs?job=3de4edf8-ea5e-4782-bf0e-cd56ca6dce16",1,620,620,620,620,620,620,620,620,622
"GET /fablabs/5a71a18373e3bb000f4b6830/jobs?job=3de4edf8-ea5e-4782-bf0e-cd56ca6dce16",1,260,260,260,260,260,260,260,260,257
