"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=121e9cc2-2296-4047-a37e-4522d12c7a60",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1276aca8-03e4-43ff-87e2-50a4b544220f",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1276aca8-03e4-43ff-87e2-50a4b544220f",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=12cc0e0d-0d96-49ac-8c98-9142efb33652",1,0,1300,1251,1251,1251,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=12cc0e0d-0d96-49ac-8c98-9142efb33652",1,0,270,268,268,268,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=13ffbc7c-f02d-480d-8fb2-18da16d5e6ec",1,0,4500,4508,4508,4508,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=13ffbc7c-f02d-480d-8fb2-18da16d5e6ec",1,0,260,260,260,260,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=14640785-4e5c-4d26-bbd8-5381c06b12e7",1,0,4200,4165,4165,4165,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=14640785-4e5c-4d26-bbd8-5381c06b12e7",1,0,320,324,324,324,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=14ba1d13-f506-45f7-885a-19e73757cc3e",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=14ba1d13-f506-45f7-885a-19e73757cc3e",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1600c68d-dd12-4df4-90be-9b0eb36d1d70",1,0,4400,4362,4362,4362,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1600c68d-dd12-4df4-90be-9b0eb36d1d70",1,0,180,185,185,185,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=17d1c044-3f58-4186-92be-5816bcdf11c4",1,0,4600,4551,4551,4551,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=17d1c044-3f58-4186-92be-5816bcdf11c4",1,0,280,283,283,283,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=189a1a42-63bc-47c2-a1b5-722bcccb3ab1",1,0,4400,4443,4443,4443,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=189a1a42-63bc-47c2-a1b5-722bcccb3ab1",1,0,620,624,624,624,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=194aa01a-d8ac-4739-8474-1457b4725eb2",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=194aa01a-d8ac-4739-8474-1457b4725eb2",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1b3cb4b5-11e3-4886-b99b-a62332952069",1,0,6100,6057,6057,6057,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1b3cb4b5-11e3-4886-b99b-a62332952069",1,0,340,343,343,343,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1bc86593-1d3a-42b4-880e-cef0377d5447",1,0,1200,1244,1244,1244,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1bc86593-1d3a-42b4-880e-cef0377d5447",1,0,210,207,207,207,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1cf2e1b5-22b1-403c-b489-03ea2dc89d01",1,0,4000,4042,4042,4042,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1cf2e1b5-22b1-403c-b489-03ea2dc89d01",1,0,430,426,426,426,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1e3858b8-662d-4f3c-8974-070546f48855",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1e3858b8-662d-4f3c-8974-070546f48855",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1e5f8d09-daf4-4fe9-b48e-87cf59049473",1,0,1100,1066,1066,1066,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1e5f8d09-daf4-4fe9-b48e-87cf59049473",1,0,770,766,766,766,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1eaa301a-b1af-4c9f-a10c-c3461f590645",1,0,7000,7011,7011,7011,15,0.03
